"","meanNDVI","date","county"
"NDVI_20120329_clip_20161215052555_987582929",0.606743851604302,2012-03-29,"kern"
"NDVI_20120330_clip_20161215052557_1533137553",0.636466224969601,2012-03-30,"kern"
"NDVI_20120331_clip_20161215052600_984536650",0.670941184768182,2012-03-31,"kern"
"NDVI_20120401_clip_20161215053230_1810551166",0.544892227777341,2012-04-01,"kern"
"NDVI_20120402_clip_20161215053233_1984625863",0.682329961711885,2012-04-02,"kern"
"NDVI_20120403_clip_20161215053236_1030460442",0.678646833024598,2012-04-03,"kern"
"NDVI_20120404_clip_20161215053239_1159386137",0.521662421607533,2012-04-04,"kern"
"NDVI_20120405_clip_20161215053242_1860190830",0.690609571726301,2012-04-05,"kern"
"NDVI_20120406_clip_20161215053245_542927924",0.712352658394316,2012-04-06,"kern"
"NDVI_20120407_clip_20161215053248_1367057849",0.694804363993679,2012-04-07,"kern"
"NDVI_20120408_clip_20161215053251_178136332",0.731809798144518,2012-04-08,"kern"
"NDVI_20120409_clip_20161215053254_250720619",0.696547381629382,2012-04-09,"kern"
"NDVI_20120410_clip_20161215053257_1697213385",0.720490073447393,2012-04-10,"kern"
"NDVI_20120411_clip_20161215053300_803750759",0.594778410997435,2012-04-11,"kern"
"NDVI_20120412_clip_20161215053303_1845360507",0.566858247328079,2012-04-12,"kern"
"NDVI_20120413_clip_20161215053306_1893177278",0.488211150890577,2012-04-13,"kern"
"NDVI_20120414_clip_20161215053308_997882288",0.544852985004079,2012-04-14,"kern"
"NDVI_20120415_clip_20161215053311_1837613420",0.753310924563326,2012-04-15,"kern"
"NDVI_20120416_clip_20161215053314_1180008093",0.709789570065343,2012-04-16,"kern"
"NDVI_20120417_clip_20161215053317_520139108",0.741757726655102,2012-04-17,"kern"
"NDVI_20120418_clip_20161215053320_120609652",0.707754896047035,2012-04-18,"kern"
"NDVI_20120419_clip_20161215053322_401171771",0.721426107241616,2012-04-19,"kern"
"NDVI_20120420_clip_20161215053325_2130405822",0.732419662769618,2012-04-20,"kern"
"NDVI_20120421_clip_20161215053328_1934549260",0.727254640506029,2012-04-21,"kern"
"NDVI_20120422_clip_20161215053331_1881597978",0.751522634797963,2012-04-22,"kern"
"NDVI_20120423_clip_20161215053334_199034032",0.729147644544671,2012-04-23,"kern"
"NDVI_20120424_clip_20161215053337_446313696",0.516913536552372,2012-04-24,"kern"
"NDVI_20120425_clip_20161215053340_348891975",0.695653628111352,2012-04-25,"kern"
"NDVI_20120426_clip_20161215053343_1088897174",0.542664371789504,2012-04-26,"kern"
"NDVI_20120427_clip_20161215053345_554957580",0.743384614024601,2012-04-27,"kern"
"NDVI_20120428_clip_20161215053348_610713286",0.754776823171455,2012-04-28,"kern"
"NDVI_20120429_clip_20161215053351_678012578",0.752402108719264,2012-04-29,"kern"
"NDVI_20120430_clip_20161215053354_1087180362",0.739557538366627,2012-04-30,"kern"
"NDVI_20120501_clip_20161215053357_1293669094",0.775462736259117,2012-05-01,"kern"
"NDVI_20120502_clip_20161215053359_1141338608",0.730753702902001,2012-05-02,"kern"
"NDVI_20120503_clip_20161215053402_137400437",0.77560609278616,2012-05-03,"kern"
"NDVI_20120504_clip_20161215053405_2069390656",0.623422584761567,2012-05-04,"kern"
"NDVI_20120505_clip_20161215053408_120680858",0.758286821458373,2012-05-05,"kern"
"NDVI_20120506_clip_20161215053411_1112656577",0.749774293435516,2012-05-06,"kern"
"NDVI_20120507_clip_20161215053413_1281235470",0.741671596425264,2012-05-07,"kern"
"NDVI_20120508_clip_20161215053416_1554808950",0.757368364302162,2012-05-08,"kern"
"NDVI_20120509_clip_20161215053419_57655267",0.73039260729291,2012-05-09,"kern"
"NDVI_20120510_clip_20161215053422_1641177616",0.777151377281113,2012-05-10,"kern"
"NDVI_20120512_clip_20161215053425_606325118",0.733187623394203,2012-05-12,"kern"
"NDVI_20120513_clip_20161215053427_1617433629",0.739164049416536,2012-05-13,"kern"
"NDVI_20120514_clip_20161215053430_305204431",0.747200796608667,2012-05-14,"kern"
"NDVI_20120515_clip_20161215053433_1941187292",0.74672443420988,2012-05-15,"kern"
"NDVI_20120516_clip_20161215053436_316383255",0.73064896249421,2012-05-16,"kern"
"NDVI_20120517_clip_20161215053439_250398847",0.76909735751757,2012-05-17,"kern"
"NDVI_20120518_clip_20161215053442_2067170020",0.719695128064776,2012-05-18,"kern"
"NDVI_20120519_clip_20161215053445_173769339",0.764273483078579,2012-05-19,"kern"
"NDVI_20120520_clip_20161215053448_468572861",0.728949155365442,2012-05-20,"kern"
"NDVI_20120521_clip_20161215053450_388424545",0.751834033037253,2012-05-21,"kern"
"NDVI_20120522_clip_20161215053453_791001653",0.746227600615345,2012-05-22,"kern"
"NDVI_20120523_clip_20161215053456_995036414",0.736234319384042,2012-05-23,"kern"
"NDVI_20120524_clip_20161215053459_1736010068",0.754351740155188,2012-05-24,"kern"
"NDVI_20120525_clip_20161215053502_525336109",0.716106761550514,2012-05-25,"kern"
"NDVI_20120526_clip_20161215053505_2078760176",0.77281363827479,2012-05-26,"kern"
"NDVI_20120527_clip_20161215053508_876442491",0.720765329610677,2012-05-27,"kern"
"NDVI_20120528_clip_20161215053511_106946249",0.757866405907057,2012-05-28,"kern"
"NDVI_20120529_clip_20161215053513_1979705680",0.736797300035383,2012-05-29,"kern"
"NDVI_20120530_clip_20161215053516_1189392249",0.743483762503423,2012-05-30,"kern"
"NDVI_20120531_clip_20161215053519_1158545980",0.750793898560107,2012-05-31,"kern"
"NDVI_20120601_clip_20161215053522_2056529261",0.73079819285867,2012-06-01,"kern"
"NDVI_20120602_clip_20161215053525_1543007569",0.76183892286151,2012-06-02,"kern"
"NDVI_20120603_clip_20161215053528_1705324687",0.721851698748675,2012-06-03,"kern"
"NDVI_20120604_clip_20161215053531_669040860",0.767744281266785,2012-06-04,"kern"
"NDVI_20120605_clip_20161215053533_518560665",0.690368838178221,2012-06-05,"kern"
"NDVI_20120607_clip_20161215053536_363041344",0.743910633460216,2012-06-07,"kern"
"NDVI_20120608_clip_20161215053539_263780041",0.738220106296684,2012-06-08,"kern"
"NDVI_20120609_clip_20161215053542_1718414095",0.754990671834395,2012-06-09,"kern"
"NDVI_20120610_clip_20161215053545_1485751202",0.722277232098928,2012-06-10,"kern"
"NDVI_20120611_clip_20161215053548_751625726",0.769692185330388,2012-06-11,"kern"
"NDVI_20120612_clip_20161215053550_794450629",0.720328804624071,2012-06-12,"kern"
"NDVI_20120613_clip_20161215053553_594300096",0.758691302044816,2012-06-13,"kern"
"NDVI_20120614_clip_20161215053556_1323853424",0.737941011784197,2012-06-14,"kern"
"NDVI_20120615_clip_20161215053559_2114914768",0.744446781055676,2012-06-15,"kern"
"NDVI_20120616_clip_20161215053602_157160631",0.748384520240081,2012-06-16,"kern"
"NDVI_20120617_clip_20161215053605_4224079",0.732025359624242,2012-06-17,"kern"
"NDVI_20120618_clip_20161215053608_435075111",0.768428670561001,2012-06-18,"kern"
"NDVI_20120619_clip_20161215053611_714852266",0.721763416717011,2012-06-19,"kern"
"NDVI_20120620_clip_20161215053614_776053957",NA,2012-06-20,"kern"
"NDVI_20120621_clip_20161215053617_1045686140",0.729636510656769,2012-06-21,"kern"
"NDVI_20120622_clip_20161215053620_821314168",0.755771248810402,2012-06-22,"kern"
"NDVI_20120623_clip_20161215053622_576410146",0.747918451595974,2012-06-23,"kern"
"NDVI_20120624_clip_20161215053625_1807739519",0.742584193026627,2012-06-24,"kern"
"NDVI_20120625_clip_20161215053628_805701602",0.758050742930957,2012-06-25,"kern"
"NDVI_20120626_clip_20161215053631_1987355319",0.729301585610424,2012-06-26,"kern"
"NDVI_20120627_clip_20161215053634_2041841513",0.777412326870096,2012-06-27,"kern"
"NDVI_20120628_clip_20161215053637_301388912",0.724604725635962,2012-06-28,"kern"
"NDVI_20120629_clip_20161215053640_1151724566",0.765166364522673,2012-06-29,"kern"
"NDVI_20120630_clip_20161215053643_2037855750",0.743196002626827,2012-06-30,"kern"
"NDVI_20120701_clip_20161215054434_1537468522",0.752906211914562,2012-07-01,"kern"
"NDVI_20120702_clip_20161215054437_798761128",0.757731365803286,2012-07-02,"kern"
"NDVI_20120703_clip_20161215054440_2129612037",0.738559625730711,2012-07-03,"kern"
"NDVI_20120704_clip_20161215054443_1370980153",0.77458183511708,2012-07-04,"kern"
"NDVI_20120705_clip_20161215054446_447982148",0.727077785658671,2012-07-05,"kern"
"NDVI_20120706_clip_20161215054448_417316079",0.773787122361687,2012-07-06,"kern"
"NDVI_20120707_clip_20161215054451_1555917352",0.734471434888919,2012-07-07,"kern"
"NDVI_20120708_clip_20161215054454_2119667188",0.760782446321849,2012-07-08,"kern"
"NDVI_20120709_clip_20161215054457_1682438459",0.751168079450572,2012-07-09,"kern"
"NDVI_20120710_clip_20161215054459_1461337876",0.745318842363185,2012-07-10,"kern"
"NDVI_20120711_clip_20161215054502_1351646746",0.679138226975446,2012-07-11,"kern"
"NDVI_20120712_clip_20161215054505_1581530814",0.584021617046213,2012-07-12,"kern"
"NDVI_20120713_clip_20161215054508_334490735",0.734462464265569,2012-07-13,"kern"
"NDVI_20120714_clip_20161215054511_2022170825",0.730855070215038,2012-07-14,"kern"
"NDVI_20120715_clip_20161215054513_2028267826",0.768659378610811,2012-07-15,"kern"
"NDVI_20120716_clip_20161215054516_820243459",0.746032659001289,2012-07-16,"kern"
"NDVI_20120717_clip_20161215054519_1792036954",0.755275979823897,2012-07-17,"kern"
"NDVI_20120718_clip_20161215054522_2146117593",0.689915593432561,2012-07-18,"kern"
"NDVI_20120719_clip_20161215054525_352234603",0.678671956764834,2012-07-19,"kern"
"NDVI_20120720_clip_20161215054528_1196415258",0.778916901600778,2012-07-20,"kern"
"NDVI_20120721_clip_20161215054531_707299725",0.733573144861858,2012-07-21,"kern"
"NDVI_20120722_clip_20161215054534_874353235",0.728121833445838,2012-07-22,"kern"
"NDVI_20120723_clip_20161215054536_104487667",0.732706143196479,2012-07-23,"kern"
"NDVI_20120724_clip_20161215054539_246281690",0.764420096386764,2012-07-24,"kern"
"NDVI_20120725_clip_20161215054542_2145604410",0.749454023904308,2012-07-25,"kern"
"NDVI_20120726_clip_20161215054545_1976862141",0.748457332561321,2012-07-26,"kern"
"NDVI_20120727_clip_20161215054547_1300595035",0.759956570363944,2012-07-27,"kern"
"NDVI_20120728_clip_20161215054550_1574395600",0.737118790859518,2012-07-28,"kern"
"NDVI_20120729_clip_20161215054553_1662763625",0.783742055489502,2012-07-29,"kern"
"NDVI_20120730_clip_20161215054556_674120016",0.730875076156338,2012-07-30,"kern"
"NDVI_20120731_clip_20161215054559_747765646",0.768531724421415,2012-07-31,"kern"
"NDVI_20120801_clip_20161215054601_1897370966",0.742887131829615,2012-08-01,"kern"
"NDVI_20120802_clip_20161215054604_2146374619",0.752837063472106,2012-08-02,"kern"
"NDVI_20120803_clip_20161215054607_125510029",0.74689053004811,2012-08-03,"kern"
"NDVI_20120804_clip_20161215054610_1411734271",0.640696281903064,2012-08-04,"kern"
"NDVI_20120805_clip_20161215054612_1557353986",0.775392075739702,2012-08-05,"kern"
"NDVI_20120806_clip_20161215054615_745529972",0.731332188652304,2012-08-06,"kern"
"NDVI_20120807_clip_20161215054618_1343984661",0.774018121195527,2012-08-07,"kern"
"NDVI_20120808_clip_20161215054621_330563881",0.734266199520183,2012-08-08,"kern"
"NDVI_20120810_clip_20161215054623_994433651",0.744742857355545,2012-08-10,"kern"
"NDVI_20120811_clip_20161215054626_834127541",0.733127687369279,2012-08-11,"kern"
"NDVI_20120812_clip_20161215054629_2033565286",0.667162537893392,2012-08-12,"kern"
"NDVI_20120813_clip_20161215054631_1330361104",0.728574875963474,2012-08-13,"kern"
"NDVI_20120814_clip_20161215054634_631009967",0.779080031441896,2012-08-14,"kern"
"NDVI_20120815_clip_20161215054637_433533433",0.726578742105504,2012-08-15,"kern"
"NDVI_20120816_clip_20161215054640_2087217579",0.760041528612102,2012-08-16,"kern"
"NDVI_20120817_clip_20161215054642_1247219428",0.628410748865957,2012-08-17,"kern"
"NDVI_20120818_clip_20161215054645_214567800",0.685274191808031,2012-08-18,"kern"
"NDVI_20120819_clip_20161215054648_817258327",0.745576360700608,2012-08-19,"kern"
"NDVI_20120820_clip_20161215054651_1690786810",0.733417749875951,2012-08-20,"kern"
"NDVI_20120821_clip_20161215054653_1420662768",0.768204127132639,2012-08-21,"kern"
"NDVI_20120822_clip_20161215054656_63447055",0.720068145819119,2012-08-22,"kern"
"NDVI_20120823_clip_20161215054659_619692570",0.767019065894685,2012-08-23,"kern"
"NDVI_20120824_clip_20161215054702_1480704253",0.727119018834198,2012-08-24,"kern"
"NDVI_20120825_clip_20161215054705_1824216123",0.750400700394047,2012-08-25,"kern"
"NDVI_20120826_clip_20161215054707_388513854",0.737984280447938,2012-08-26,"kern"
"NDVI_20120827_clip_20161215054710_1563710558",0.737680062195215,2012-08-27,"kern"
"NDVI_20120828_clip_20161215054713_1681732091",0.744424957900339,2012-08-28,"kern"
"NDVI_20120829_clip_20161215054716_900885832",0.637075487530472,2012-08-29,"kern"
"NDVI_20120830_clip_20161215054719_1638395162",0.773142896457437,2012-08-30,"kern"
"NDVI_20120831_clip_20161215054721_533679644",0.718986254755191,2012-08-31,"kern"
"NDVI_20120901_clip_20161215054724_295721452",0.755961421566358,2012-09-01,"kern"
"NDVI_20120902_clip_20161215054727_1144773476",0.730338056208786,2012-09-02,"kern"
"NDVI_20120903_clip_20161215054730_224534102",0.740849957068646,2012-09-03,"kern"
"NDVI_20120904_clip_20161215054733_138008543",0.665952601773529,2012-09-04,"kern"
"NDVI_20120905_clip_20161215054735_1825097514",0.543357050176111,2012-09-05,"kern"
"NDVI_20120906_clip_20161215054738_667750867",0.61645216925954,2012-09-06,"kern"
"NDVI_20120907_clip_20161215054741_1530190240",0.722807040602523,2012-09-07,"kern"
"NDVI_20120908_clip_20161215054744_777659385",0.742234321681113,2012-09-08,"kern"
"NDVI_20120909_clip_20161215054746_1304415004",0.722379820704893,2012-09-09,"kern"
"NDVI_20120910_clip_20161215054749_1969703148",0.750012038458863,2012-09-10,"kern"
"NDVI_20120911_clip_20161215054752_454608348",0.734507724735927,2012-09-11,"kern"
"NDVI_20120912_clip_20161215054755_1852168871",0.731627159972857,2012-09-12,"kern"
"NDVI_20120913_clip_20161215054758_1701543787",0.739882258154951,2012-09-13,"kern"
"NDVI_20120914_clip_20161215054800_1130800023",0.720920666439778,2012-09-14,"kern"
"NDVI_20120915_clip_20161215054803_1458209221",0.772515349325835,2012-09-15,"kern"
"NDVI_20120916_clip_20161215054806_859743422",0.717506047726267,2012-09-16,"kern"
"NDVI_20120917_clip_20161215054809_371538213",0.755307448281734,2012-09-17,"kern"
"NDVI_20120918_clip_20161215054812_968010025",0.725686558543084,2012-09-18,"kern"
"NDVI_20120919_clip_20161215054814_148393579",0.733962853619552,2012-09-19,"kern"
"NDVI_20120920_clip_20161215054817_617142956",0.730766497399344,2012-09-20,"kern"
"NDVI_20120921_clip_20161215054820_229467681",0.690358566951162,2012-09-21,"kern"
"NDVI_20120922_clip_20161215054822_1093839676",0.549495629283394,2012-09-22,"kern"
"NDVI_20120923_clip_20161215054826_413750978",0.713315695402721,2012-09-23,"kern"
"NDVI_20120924_clip_20161215054828_1964821277",0.760893002410251,2012-09-24,"kern"
"NDVI_20120925_clip_20161215054831_2127082650",0.71498878853092,2012-09-25,"kern"
"NDVI_20120926_clip_20161215054834_616650614",0.739136192306413,2012-09-26,"kern"
"NDVI_20120927_clip_20161215054837_691154223",0.721579757523339,2012-09-27,"kern"
"NDVI_20120928_clip_20161215054840_1755498097",0.697983738426505,2012-09-28,"kern"
"NDVI_20120929_clip_20161215054842_1952250748",0.727458781845633,2012-09-29,"kern"
"NDVI_20120930_clip_20161215054845_51781680",0.709357581309612,2012-09-30,"kern"
"NDVI_20121001_clip_20161215054927_1935968646",0.769713645191839,2012-10-01,"kern"
"NDVI_20121002_clip_20161215054930_814018526",0.707927272820324,2012-10-02,"kern"
"NDVI_20121003_clip_20161215054933_1011465990",0.724512430784677,2012-10-03,"kern"
"NDVI_20121004_clip_20161215054935_1397444036",0.650035603596696,2012-10-04,"kern"
"NDVI_20121006_clip_20161215054939_458032576",0.721594994606538,2012-10-06,"kern"
"NDVI_20121007_clip_20161215054942_2013870697",0.710632901910637,2012-10-07,"kern"
"NDVI_20121008_clip_20161215054944_489989025",0.753544657331956,2012-10-08,"kern"
"NDVI_20121009_clip_20161215054947_508161301",0.604752678876959,2012-10-09,"kern"
"NDVI_20121010_clip_20161215054950_1730205423",0.750264596309857,2012-10-10,"kern"
"NDVI_20121011_clip_20161215054953_647468457",0.552614301487472,2012-10-11,"kern"
"NDVI_20121013_clip_20161215054956_1322014028",0.649694331510158,2012-10-13,"kern"
"NDVI_20121014_clip_20161215054959_1230852825",0.725676148474791,2012-10-14,"kern"
"NDVI_20121015_clip_20161215055001_1741333863",0.733577254295603,2012-10-15,"kern"
"NDVI_20121016_clip_20161215055004_2127862758",0.712101535735147,2012-10-16,"kern"
"NDVI_20121017_clip_20161215055007_354685785",0.771314120495784,2012-10-17,"kern"
"NDVI_20121018_clip_20161215055010_627614921",0.710586376465755,2012-10-18,"kern"
"NDVI_20121019_clip_20161215055014_1717322402",0.75003379109311,2012-10-19,"kern"
"NDVI_20121020_clip_20161215055016_1483845329",0.714672415505721,2012-10-20,"kern"
"NDVI_20121021_clip_20161215055019_695711424",0.72799014963281,2012-10-21,"kern"
"NDVI_20121022_clip_20161215055022_1927366174",0.567661946538163,2012-10-22,"kern"
"NDVI_20121023_clip_20161215055025_933233528",0.718292327744774,2012-10-23,"kern"
"NDVI_20121024_clip_20161215055028_122415318",0.760992185023282,2012-10-24,"kern"
"NDVI_20121025_clip_20161215055031_1870879872",0.710646917700908,2012-10-25,"kern"
"NDVI_20121026_clip_20161215055034_1411011985",0.763522038986927,2012-10-26,"kern"
"NDVI_20121027_clip_20161215055037_1806951967",0.710510074736148,2012-10-27,"kern"
"NDVI_20121028_clip_20161215055039_908801889",0.737347114480277,2012-10-28,"kern"
"NDVI_20121029_clip_20161215055043_210874543",0.716359893391596,2012-10-29,"kern"
"NDVI_20121030_clip_20161215055046_363559028",0.716202986328731,2012-10-30,"kern"
"NDVI_20121031_clip_20161215055049_2004372060",0.702370448154021,2012-10-31,"kern"
"NDVI_20121101_clip_20161215055051_1510596772",0.686257581612028,2012-11-01,"kern"
"NDVI_20121102_clip_20161215055055_1564899479",0.535938508792505,2012-11-02,"kern"
"NDVI_20121103_clip_20161215055057_2123279595",0.703661471092694,2012-11-03,"kern"
"NDVI_20121104_clip_20161215055100_468499991",0.74882412753741,2012-11-04,"kern"
"NDVI_20121105_clip_20161215055103_207661236",0.711056225302258,2012-11-05,"kern"
"NDVI_20121106_clip_20161215055106_305898434",0.722581101410814,2012-11-06,"kern"
"NDVI_20121107_clip_20161215055109_849309292",0.711209584799951,2012-11-07,"kern"
"NDVI_20121108_clip_20161215055111_1552833705",0.585498595403182,2012-11-08,"kern"
"NDVI_20121109_clip_20161215055114_1513636734",0.722471419718349,2012-11-09,"kern"
"NDVI_20121110_clip_20161215055117_733941792",0.664804612688969,2012-11-10,"kern"
"NDVI_20121111_clip_20161215055119_665727014",0.759159957054917,2012-11-11,"kern"
"NDVI_20121112_clip_20161215055122_64944289",0.703379817680739,2012-11-12,"kern"
"NDVI_20121113_clip_20161215055125_178132729",0.728198990723524,2012-11-13,"kern"
"NDVI_20121114_clip_20161215055128_1725141020",0.592568827998454,2012-11-14,"kern"
"NDVI_20121115_clip_20161215055131_1827917682",0.519633342571796,2012-11-15,"kern"
"NDVI_20121116_clip_20161215055133_1526901200",0.503563308933249,2012-11-16,"kern"
"NDVI_20121117_clip_20161215055136_1361806113",0.652232845771769,2012-11-17,"kern"
"NDVI_20121118_clip_20161215055139_868283122",0.644533948321373,2012-11-18,"kern"
"NDVI_20121119_clip_20161215055142_1145694525",0.701168172501461,2012-11-19,"kern"
"NDVI_20121120_clip_20161215055144_1986605141",0.743758378941839,2012-11-20,"kern"
"NDVI_20121121_clip_20161215055147_179455197",0.700307277300724,2012-11-21,"kern"
"NDVI_20121122_clip_20161215055150_982892303",0.655254576559551,2012-11-22,"kern"
"NDVI_20121123_clip_20161215055152_1661845423",0.699903727223178,2012-11-23,"kern"
